ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 66,OYL,6.88504,6.885724,6.885248,6.890353,6.914605,6.949509,6.986181,7.005666,7.101613,7.184224,7.255675,7.345728,7.470141,7.807669,8.31837,8.648758,9.08457,9.169967,8.940574,8.591083,8.209711,7.943752,7.773768,7.711312,7.662523,7.551708,7.546268,7.555614,7.55232,7.550473,7.540396,7.518762,7.498767,7.451639,7.424183,7.356929,7.213098,7.092152,6.886535,6.622538,6.363072,6.322656,6.397709,6.48778,6.563414,0
Action 66,ORR,3.005728,3.008445,3.008547,3.025482,3.034788,3.056345,3.087531,3.16727,3.291457,3.360775,3.392291,3.427152,3.477959,3.563264,3.65291,3.693679,3.757428,3.808863,3.837539,3.834195,3.834201,3.794415,3.710987,3.651691,3.626144,3.674027,3.727431,3.712215,3.728925,3.752476,3.772304,3.762631,3.752713,3.765945,3.744272,3.687801,3.593333,3.413176,2.983084,2.698939,2.56319,2.603759,2.766811,2.921199,3.088685,0
Action 66,OPR,2.946034,2.944248,2.943615,2.945658,2.951323,2.956401,2.965472,2.983614,3.028334,3.062796,3.084285,3.098401,3.120413,3.169821,3.25489,3.316178,3.387328,3.59528,3.878606,4.253438,4.649306,5.05337,5.164972,4.959717,4.571655,4.30778,4.265337,4.289145,4.283165,4.279512,4.254025,4.199928,4.071362,3.935395,3.752621,3.486499,3.282732,3.110573,2.966781,2.921911,2.914213,2.918441,2.940013,2.960524,2.9928,0
Action 66,OYR,6.396392,6.396303,6.391806,6.380028,6.365696,6.345516,6.308369,6.23894,6.069697,5.97367,5.928647,5.897332,5.836415,5.742776,5.654077,5.613685,5.565611,5.458956,5.370771,5.280244,5.183928,5.061583,4.982771,4.97447,5.072166,5.165101,5.180054,5.179564,5.188314,5.169533,5.149621,5.13205,5.146377,5.180078,5.240073,5.381402,5.578386,5.869298,6.364549,6.718779,6.887381,6.882545,6.732661,6.592113,6.394162,0
Action 67,ALX,0.9238281,0.5415039,-0.07861328,-0.2602539,-0.7587891,-0.7060547,-0.6254883,-0.7045898,-0.5761719,-0.4165039,-0.5493164,-0.7260742,-0.7666016,-0.7573242,1.161133,0.2514648,0.2280273,0.3271484,0.3256836,0.293457,0.4248047,0.3959961,0.4702148,0.5615234,0.6435547,0.7241211,0.8500977,0.956543,1.04541,0.9868164,0.9101563,0.8955078,0.9506836,0.9155273,0.9130859,0.8920898,0.8974609,0.9160156,0.9296875,0.9213867,0.9316406,0.9311523,0.9511719,0.9506836,0.9389648,0
Action 67,ALY,0.5708008,0.7246094,0.7070313,0.5786133,0.5444336,0.5786133,0.4365234,0.3808594,0.1181641,0.2246094,0.3154297,0.362793,0.8588867,0.9609375,1.219727,0.7060547,0.6772461,0.6787109,0.6411133,0.59375,0.6411133,0.5893555,0.5922852,0.5473633,0.5727539,0.4873047,0.4165039,0.347168,0.2480469,0.2807617,0.2963867,0.284668,0.2875977,0.2700195,0.2773438,0.300293,0.2739258,0.2900391,0.2875977,0.2929688,0.2993164,0.2832031,0.2797852,0.277832,0.2675781,0
Action 67,ALZ,0.7207031,0.7543945,0.7397461,0.7416992,0.7036133,0.5322266,0.3427734,0.2451172,0.09619141,0.2207031,0.3554688,0.3999023,0.5849609,0.4975586,1.14502,0.7841797,0.6108398,0.7368164,0.6918945,0.6220703,0.5644531,0.6030273,0.5439453,0.5800781,0.5180664,0.4545898,0.3837891,0.2641602,0.01074219,0.1264648,0.1772461,0.1845703,0.1499023,0.1425781,0.1606445,0.1958008,0.1660156,0.1704102,0.1503906,0.1611328,0.15625,0.1518555,0.1606445,0.121582,0.1416016,0
Action 67,ARX,0.8637695,0.4267578,0.3066406,0.2675781,0.2094727,0.1103516,0.09570313,-0.1362305,-0.3173828,-0.1953125,-0.2314453,-0.2807617,-0.1953125,1.254395,0.6108398,0.09521484,0.4672852,0.4541016,0.4140625,0.4160156,0.4560547,0.4956055,0.668457,0.6875,0.8037109,0.9291992,1.071777,1.062012,1.001953,0.9335938,0.9345703,0.9516602,0.9521484,0.9521484,0.9423828,0.9233398,0.9238281,0.9213867,0.9379883,0.949707,0.9458008,0.9672852,0.9541016,0.9848633,0.9536133,0
Action 67,ARY,-0.5683594,-0.5966797,-0.4594727,-0.4873047,-0.5117188,-0.7368164,-0.7788086,-0.7392578,-0.5996094,-0.4663086,-0.456543,-0.3867188,-0.6611328,-1.041016,-0.8818359,-0.6806641,-0.6586914,-0.6953125,-0.5737305,-0.5869141,-0.5742188,-0.515625,-0.5078125,-0.4750977,-0.5214844,-0.4311523,-0.3457031,-0.3188477,-0.2661133,-0.3012695,-0.2636719,-0.2851563,-0.2695313,-0.2802734,-0.2802734,-0.2758789,-0.2714844,-0.2768555,-0.2729492,-0.2753906,-0.2768555,-0.2749023,-0.2724609,-0.2714844,-0.2739258,0
Action 67,ARZ,0.6503906,0.6064453,0.440918,0.5595703,0.6269531,0.7871094,0.8276367,0.8217773,0.628418,0.5488281,0.5219727,0.3720703,0.5664063,1.216797,0.7939453,0.5444336,0.6411133,0.6474609,0.6181641,0.5810547,0.5742188,0.5029297,0.5136719,0.4814453,0.3647461,0.3115234,0.1103516,0.02783203,0.06298828,0.1489258,0.121582,0.08544922,0.07177734,0.08935547,0.1142578,0.1191406,0.1411133,0.1396484,0.1289063,0.1342773,0.1225586,0.1293945,0.1147461,0.08691406,0.1264648,0
